Thread,T10k,T40k,T160k
1,30.4286,122.905,484.398
2,17.9315,70.8257,284.36
3,13.9185,56.6285,220.516
4,11.3787,45.9012,319.861
5,18.9095,73.9977,295.23
6,17.7133,69.7049,276.33
7,16.445,64.7096,257.622
8,15.2848,61.4236,243.38
9,15.1676,61.3008,239.032
10,14.5955,58.5627,219.334
11,13.9554,54.9307,216.735
12,13.3805,53.7806,211.003
13,13.0637,52.5356,207.045
14,13.078,51.7256,203.547
15,12.7329,52.4147,203.808
16,13.1797,52.7006,198.982
17,12.6632,50.7545,200.916
18,12.4012,49.9479,189.325
19,12.4347,49.9097,193.295
20,12.695,51.295,195.11
21,12.8901,51.2848,193.705
22,13.3538,52.4985,193.316
23,12.9574,51.0358,193.208
24,13.5934,53.4546,197.007
25,13.1559,52.1611,192.818
26,12.8374,51.4921,191.49
27,12.9727,51.3017,191.39
28,12.903,51.9877,194.4
